,target
0,51.44521273
1,4.15590495
2,2.6868661
3,2.10996391
4,2.77008758
5,1.74301504
6,10.67617938
7,30.51063259
8,49.24612602
9,81.82430752
10,97.99133505
11,89.41244453
12,72.08132156
13,54.8195537
14,37.6857017
15,28.24328752
16,25.18717169
17,28.32485612
18,41.77004011
19,48.4115614
20,44.82160252
21,50.08188635
22,51.10410292
23,35.29098188
24,43.83115613
25,44.56865954
26,40.10899765
27,39.60005669
28,40.83802632
29,77.97476956
30,152.92967051
31,134.22604055
32,96.41022573
33,64.39277233
34,47.07443368
35,27.35393163
36,22.33795462
37,18.61354296
38,25.47272202
39,44.83906865
40,53.75084764
41,40.98550084
42,35.7750861
43,34.4586237
44,36.80769174
45,39.9883667
46,36.60045264
47,41.73885559
48,33.6120993
49,37.69467217
50,41.31651639
51,54.22093497
52,43.42246019
53,35.39181921
54,80.30895016
55,77.42785808
56,45.24636641
57,29.71792514
58,22.04914938
59,21.72349742
60,21.30434878
61,33.46274142
62,33.34891826
63,30.86973165
64,30.66278946
65,35.63415888
66,37.92138547
67,32.16191462
68,36.52692549
69,31.97741625
70,27.81445192
71,26.73079189
72,20.69932178
73,24.96158233
74,45.25142646
75,49.43600078
76,31.21747921
77,22.60869645
78,11.2009768
79,15.78414344
80,18.72999655
81,17.46512089
82,14.72275328
83,17.59048162
84,21.90468195
85,15.78757754
86,11.55761685
87,15.02142907
88,21.30953067
89,16.95796184
90,19.68637523
91,20.13214215
92,19.38346973
93,22.55168258
94,26.53125055
95,30.27813941
96,30.98848359
97,28.81316556
98,67.34132654
99,59.2352037
100,47.35611477
101,43.74485678
102,29.13284387
103,19.42888912
104,18.78557876
105,18.39746761
106,27.66148942
107,35.54850047
108,34.68112621
109,31.00367326
110,35.87679252
111,39.57429849
112,43.4041419
113,45.96552868
114,47.17525133
115,56.83289225
116,48.21321086
117,49.62376218
118,60.47764385
119,61.72130713
120,40.7900405
121,24.30034323
122,20.93604599
123,13.02315232
124,10.85657523
125,11.0928693
126,11.9363754
127,14.33512883
128,23.23895499
129,36.39962
130,32.53463932
131,31.85746485
132,46.20434075
133,39.94020877
134,42.04074142
135,39.47791932
136,42.9686551
137,45.10613467
138,50.00299715
139,47.62452599
140,50.7816449
141,57.00656875
142,61.28569785
143,57.29843314
144,45.17271109
145,27.21872676
146,21.19264741
147,15.41192578
148,12.67083876
149,14.66803269
150,17.38112397
151,47.86562793
152,50.04434053
153,53.67629248
154,50.92444174
155,51.16880758
156,49.56315781
157,40.74850289
158,43.10734825
159,48.5268154
160,40.07249795
161,30.99330084
162,25.10813997
163,18.14265046
164,14.47691893
165,14.54612873
166,17.66272656
